Title,Author(s),Format-Year
Uses of the Infinitive,,"Streaming Video, 2017"
Regular -er and -ir Verbs in the Present,,"Streaming Video, 2015"
Talking about the Past: ¿Desde Cuándo…?,,"Streaming Video, 2015"
Direct Object Pronouns and Adverbs,,"Streaming Video, 2015"
Subject Pronouns and the Verb Ser,,"Streaming Video, 2015"
Definite Articles and Nouns,,"Streaming Video, 2015"
"Affirmatives, Negatives, and Demonstratives",,"Streaming Video, 2015"
Superlatives and Equal Comparisons,,"Streaming Video, 2015"
Irregular Verbs in the Preterite,,"Streaming Video, 2015"
Double Object Pronouns,,"Streaming Video, 2015"
The Verb Ir in the Present,,"Streaming Video, 2015"
The Verb Estar and Numbers over 100,,"Streaming Video, 2015"
"Ver, Dar, and Other Irregular Verbs",,"Streaming Video, 2015"
The Present Progressive,,"Streaming Video, 2015"
Indefinite Articles and Numbers to 100,,"Streaming Video, 2015"
The Verbs Saber and Conocer,,"Streaming Video, 2015"
Next Steps in Improving Your Spanish,,"Streaming Video, 2015"
Regular -ar Verbs in the Present,,"Streaming Video, 2015"
Verbs like Hacer and Interrogative Words,,"Streaming Video, 2015"
Expressions Using the Verb Tener,,"Streaming Video, 2015"
Regular -er and -ir Verbs in the Preterite,,"Streaming Video, 2015"
Reflexive Verbs,,"Streaming Video, 2015"
Stem-Changing Verbs,,"Streaming Video, 2015"
Talking about the Past: Acabar and Hace,,"Streaming Video, 2015"
Indirect Object Pronouns,,"Streaming Video, 2015"
Regular -ar Verbs in the Preterite,,"Streaming Video, 2015"
Informal Commands,,"Streaming Video, 2015"
Formal Commands and Unequal Comparisons,,"Streaming Video, 2015"
More Affirmative and Negative Expressions,,"Streaming Video, 2015"
Introduction to the Spanish Language,,"Streaming Video, 2015"
Expressing Time in Spanish,,"Streaming Video, 2015"
Spanish for Childcare Professionals,"Ruiz, Alessio","eAudiobook, 2025"
Learn Intermediate Spanish In 30 Days,Language Library,"eBook, 2021"
Learn Spanish For Beginners,Language Library,"eBook, 2021"
Learn Spanish For Beginners In Your Car,Language Library,"eBook, 2021"
Traveling in Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese"
"Learn Latin American Spanish for Beginners, Volume 1","Academy, Language","eAudiobook, 2020"
Learn Spanish,"Alfaro, Adrian","eBook, 2020"
Diversión en serio: Cómo el juego guiado amplía el aprendizaje de los niños,"Masterson, Marie L.","eBook, 2019 — Spanish"
Learning Agility,"Hallenbeck, George","eBook, 2018 — Spanish"
Real Spanish 101,"Frobose, Mark","eAudiobook, 2015"
Spanish Basics Intermediate Level,"Frobose, Mark","eAudiobook, 2015"
Real Spanish 102,"Frobose, Mark","eAudiobook, 2015"
Spanish Basics for Beginners,"Frobose, Mark","eAudiobook, 2015"
Cuando tu hijo tiene dificultades de aprendizaje,"Fisher, Gary L.","Book, 2004 — Spanish"
Muse of Fire,,"Streaming Video, 2015"
Kids Learn Spanish Songs,Nashville Kids Sound (Musical group),"Streaming Music, 2006 — Spanish"
Spanish,Nashville Kids Sound (Musical group),"Streaming Music, 1994 — Spanish"
Sesame Street,,"DVD, 2014"
Learning to Drive,,"DVD, 2016"
Primer Año De Cálculo,"Falbo, Clement E.","eBook, 2025 — Spanish"
IA PARA PRINCIPIANTES: Aprendizaje Profundo (Deep Learning),Pmdigital,"eBook, 2025 — Spanish"
Aprendiendo a quererte (Learning to Love You),"Westwood, Jana","eAudiobook, 2024 — Spanish"
"Machine Learning aplicado al rendimiento académico en educación superior: factores, variables y herr",Leonardo Emiro Contreras; Giovanny Mauricio Tarazona Bermúdez; Angie Paola Alemán Cardona,"eBook, 2023 — Spanish"
Aprender a ser padres (Learning to Become Parents),María Del Carmen Míguez,"eAudiobook, 2022 — Spanish"
Educación a distancia (Distance Learning),"Murray, Julie","eBook, 2020 — Spanish"
Libro blanco del e-learning,Various Authors,"eBook, 2020 — Spanish"
Aprende sobre los tiburones (Learning about Sharks),"Otterman, Joseph","eBook, 2020 — Spanish"
Aprendamos Sobre la Expansión Hacia el Oeste con Artes y Manualidades (Learning About the Westward E,"Collison, Campbell","eBook, 2020 — Spanish"
E-learning en la formación profesional para el empleo,Isabel María Márquez Pérez,"eBook, 2019 — Spanish"
"Intelligence, Play & Learning (Dr. Brain)",,"Streaming Video, 2019 — Spanish"
¡Compartir es genial! (Learning to Share),"Rusu, Meredith","eBook, 2018 — Spanish"
Aprendizaje Acelerado [Accelerated Learning],"Powell, Jimmie","eAudiobook, 2018 — Spanish"
El Amor caminó entre nosotros,"Miller, Paul E.","eBook, 2015 — Spanish"
Easy Learning Verbos ingleses,Collins,"eBook, 2013 — Spanish"
Easy Learning Vocabulario de inglés,Various Authors,"eBook, 2013 — Spanish"
Pocoyo,,"DVD, 2013"
Developmental Assignments,"McCauley, Cynthia D.","eBook, 2008 — Spanish"
Cuentos para aprender a aprend (Stories to Learn about Learning),Jose Maria Doria,"eAudiobook, 2006 — Spanish"
Higher Learning,,"DVD, 2001"
Borat,,"DVD, 2007"
Adiós a la inflamación,"Moñino, Sandra","Book, 2025 — Spanish"
Complete Spanish Grammar Review,"Harvey, William C","Book, 2016"
Super dinosaurios,"Barker, Chris","Book, 2021 — Spanish"
Easy Spanish Step-by-step,"Bregstein, Barbara","Book, 2006"
I'm Too Big,"Morton, Lone","Picture Book, 1994"
52 Weeks of Family Spanish,"McAree, Eileen","Book, 2012"
Puerto Rico,"Meléndez Badillo, Jorell A.","Book, 2024 — Spanish"
La vida secreta de los océanos,"French, Jess","Book, 2021 — Spanish"
"How to Play Guitar, Acoustic and Electric--learn to Play Like A Rock Hero",,"Book, 2017"
The Address,,"DVD, 2014"
Being... Spanish,,"Streaming Video, 2011"
"Spanish Voices, Spanish and English in the Southeastern United States",,"Streaming Video, 2011"
Bebe feliz,"Knecht-Boyer, Anne","Book, 2004 — Spanish"
Spanish For Kids,Learning Children Crew (Musical group),"Streaming Music, 2024"
Conoce a Rubén Darío,"Ramírez, Sergio","Book, 2024 — Spanish"
English for everyone,"Harding, Rachel","Book, 2016 — Spanish"
52 maneras de cultivar las habilidades naturales de su hijo,"Luck, Kenneth L.","Book, 2011 — Spanish"
Cómo estimular día a día la inteligencia de tu hijo,"Laniado, Nessia","Book, 2007 — Spanish"
"North Carolina's Mountains, Piedmont, & Coastal Plain in Spanish & English",,"Book, 2005"
El arte de gastar dinero,"Housel, Morgan","Book, 2026 — Spanish"
100 Facts About International Cuisine,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Common Spanish Expressions,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Por and Para,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Small Talk Conversations,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About the Function of the Human Body,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples Ser and Estar in Both Preterite and Imperfect,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Reflexive Verbs,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About the History and Varieties of Cacao Beans,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Living in Spain,Science-Based Language Learning Lab,"eAudiobook, 2025"
100 Examples of Basic Conversational Phrases,Science-Based Language Learning Lab,"eBook, 2025"
"100 Examples of the Spanish Verb ""Llevar""",Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Pharmacology,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Inductive Reasoning,Science-Based Language Learning Lab,"eBook, 2025"
"100 Examples of Time, Day, and Full Date",Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Gardening and Plant Care,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Philosophy,Science-Based Language Learning Lab,"eBook, 2025"
A Hundred Reasons Why People Believe in Stupid Things,Science-Based Language Learning Lab,"eBook, 2025"
A Hundred Reasons Why Strengthening Your Immune System Is Crucial,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Ancient Civilizations,Science-Based Language Learning Lab,"eBook, 2025"
100 Examples of Common Idiomatic Expressions,Science-Based Language Learning Lab,"eBook, 2025"
100 Facts About Logical Reasoning,Science-Based Language Learning Lab,"eBook, 2024"
A Hundred Reasons Why People Believe in Conspiracy Theories,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Basic First Aid,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About Fitness,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About Mental Health,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Nutrition,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Burning Fat While You Sleep,Science-Based Language Learning Lab,"eBook, 2024"
100 Reasons Why Bicycles Make Life Better,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Longevity,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Real Estate Investment,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Famous Literary Hoaxes and Forgeries,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Socratic Questioning,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About the Life and Works of Nikola Tesla,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Most Important Life Skills,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Being an Informed Voter,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About the Science and Applications of Nanotechnology,Science-Based Language Learning Lab,"eBook, 2024"
A Hundred Reasons Why Evolution Is True,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Marketing,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Rucking,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Website Promotion,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About the History and Evolution of Telecommunication Systems,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About General Relativity and Its Applications,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Positive Psychology,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Artificial Intelligence,Science-Based Language Learning Lab,"eAudiobook, 2024"
100 Facts About Cognitive Biases,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Critical Thinking,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Anti Inflammatory Diet,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Eating for Longevity,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Croatia,Science-Based Language Learning Lab,"eBook, 2024"
1000 Motivational Statements,Language Learning Lab,"eBook, 2024"
100 Facts About Having Great Sex,Science-Based Language Learning Lab,"eBook, 2024"
A Hundred Reasons Why Traveling Increases Cultural Awareness,Science-Based Language Learning Lab,"eBook, 2024"
Learn Spanish Bundle - Spanish for Beginners (Level 2),"Innovative Language Learning, LLC; SpanishPod101.com","eAudiobook, 2024"
1000 Common Future Tense Verbs,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Conjugations,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Phrases,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Nouns,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Adjectives,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Words,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Past Tense Verbs,Science-Based Language Learning Lab,"eBook, 2024"
1000 Common Verbs,Science-Based Language Learning Lab,"eBook, 2024"
100 Facts About Book Marketing,Science-Based Language Learning Lab,"eBook, 2024"
